,US_M2_USD,dff,^GSPC,gini_coefficient
1990-01-01,3170400.0,7.97,359.69000244140625,0.4666853880143557
1990-02-01,3170500.0,8.25,328.7900085449219,0.4667372413603673
1990-03-01,3192600.0,8.3,332.739990234375,0.4673245753808368
1990-04-01,3219800.0,8.3,338.70001220703125,0.468170766684575
1990-05-01,3186700.0,8.11,332.25,0.4696531426645555
1990-06-01,3210800.0,8.28,363.1600036621094,0.4687648127064788
1990-07-01,3224500.0,8.32,359.5400085449219,0.4696887209439442
1990-08-01,3238700.0,8.07,355.5199890136719,0.4701354555148242
1990-09-01,3249000.0,8.06,323.0899963378906,0.4712219388445597
1990-10-01,3253700.0,8.25,314.94000244140625,0.4721544403510728
1990-11-01,3265300.0,8.06,307.0199890136719,0.4725741647642033
1990-12-01,3285100.0,7.61,324.1000061035156,0.473652307731923
1991-01-01,3289300.0,5.53,326.45001220703125,0.4728081450971418
1991-02-01,3296300.0,6.3,343.04998779296875,0.4743402679949811
1991-03-01,3327300.0,6.35,370.4700012207031,0.4751155573063638
1991-04-01,3349500.0,6.48,371.29998779296875,0.4753917981175387
1991-05-01,3330300.0,5.9,380.2900085449219,0.4746446241838537
1991-06-01,3349700.0,5.92,388.05999755859375,0.4756961483557227
1991-07-01,3354400.0,6.38,377.9200134277344,0.4750375219297384
1991-08-01,3351400.0,5.86,387.1199951171875,0.4758489231236301
1991-09-01,3347600.0,5.5,392.1499938964844,0.4750773734794126
1991-10-01,3353800.0,5.4,389.20001220703125,0.4759825572966445
1991-11-01,3371200.0,5.03,391.32000732421875,0.4758752388996053
1991-12-01,3386400.0,4.86,381.3999938964844,0.4767108901170668
1992-01-01,3383200.0,4.09,417.260009765625,0.4798640402536216
1992-02-01,3390100.0,4.4,409.5299987792969,0.480244988143604
1992-03-01,3404800.0,4.13,412.45001220703125,0.4811030882874044
1992-04-01,3418900.0,4.98,404.2300109863281,0.481878193295155
1992-05-01,3388000.0,3.75,412.5299987792969,0.4827488121691727
1992-06-01,3388700.0,3.96,417.29998779296875,0.4839254397040874
1992-07-01,3393200.0,3.89,412.8800048828125,0.4843663719762547
1992-08-01,3396500.0,3.37,425.0899963378906,0.4841332292224411
1992-09-01,3401200.0,3.39,416.07000732421875,0.4856686210095099
1992-10-01,3418700.0,3.58,416.2900085449219,0.4877451637456164
1992-11-01,3433400.0,3.04,422.75,0.4897987151113787
1992-12-01,3441300.0,3.17,430.7799987792969,0.4905711317988821
1993-01-01,3423600.0,2.66,435.3800048828125,0.488366435352862
1993-02-01,3400700.0,3.25,442.5199890136719,0.4868669854679056
1993-03-01,3410500.0,3.65,442.010009765625,0.4873498828951788
1993-04-01,3430400.0,3.31,450.29998779296875,0.487104578197715
1993-05-01,3425000.0,3.01,442.4599914550781,0.4864670628285983
1993-06-01,3439500.0,3.33,453.8299865722656,0.4864276104619528
1993-07-01,3442600.0,3.27,449.0199890136719,0.4860983954807195
1993-08-01,3440900.0,3.07,450.1499938964844,0.4851923179250998
1993-09-01,3443500.0,3.25,463.1499938964844,0.4854338710023442
1993-10-01,3452700.0,3.19,461.2799987792969,0.4848071082293193
1993-11-01,3474700.0,3.15,469.1000061035156,0.48413843263671
1993-12-01,3495100.0,3.07,461.8900146484375,0.4847470441511763
1994-01-01,3480100.0,2.85,465.44000244140625,0.4852689531361362
1994-02-01,3459700.0,3.25,479.6199951171875,0.4849233117484744
1994-03-01,3477200.0,3.31,464.44000244140625,0.4844234680891756
1994-04-01,3503100.0,3.64,438.9200134277344,0.4828593140624201
1994-05-01,3474500.0,3.73,453.0199890136719,0.4832637541099105
1994-06-01,3477400.0,4.33,457.6300048828125,0.4823865011314007
1994-07-01,3491500.0,3.82,446.20001220703125,0.4822116212976959
1994-08-01,3481600.0,4.34,461.010009765625,0.4818188371471774
1994-09-01,3476800.0,4.76,473.1700134277344,0.4821108739519219
1994-10-01,3478200.0,5.44,461.739990234375,0.4816812686656158
1994-11-01,3491800.0,4.76,468.4200134277344,0.4810429920798387
1994-12-01,3507800.0,5.49,448.9200134277344,0.4795924773215504
1995-01-01,3495300.0,4.94,459.1099853515625,0.4794195512086271
1995-02-01,3474900.0,5.25,470.3999938964844,0.4799568828994149
1995-03-01,3491700.0,5.56,485.6499938964844,0.4799686904634187
1995-04-01,3522400.0,6.3,501.8500061035156,0.4816325745850036
1995-05-01,3506700.0,6.1,514.260009765625,0.4823681761714607
1995-06-01,3545500.0,6.04,533.489990234375,0.4833029842608029
1995-07-01,3569700.0,6.11,547.0900268554688,0.4833778772045195
1995-08-01,3585200.0,5.55,559.6400146484375,0.4841449624712323
1995-09-01,3594600.0,5.72,563.8400268554688,0.4839070701687335
